airport,airport_name,city,state,Safety_percentage,CO2_emissions_kg
LGA,LaGuardia Airport,New York,NY,99.4,90000
MIA,Miami International Airport,Miami,FL,99.4,90000
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,99.7,120000
CLT,Charlotte Douglas International Airport,Charlotte,NC,99.4,90000
IAD,Washington Dulles International Airport,Dulles,VA,99.4,90000
DEN,Denver International Airport,Denver,CO,99.7,120000
PHL,Philadelphia International Airport,Philadelphia,PA,99.4,90000
SFO,San Francisco International Airport,San Francisco,CA,99.6,120000
ORD,O'Hare International Airport,Chicago,IL,99.6,120000
LAX,Los Angeles International Airport,Los Angeles,CA,99.6,120000
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,99.4,90000
BOS,Boston Logan International Airport,Boston,MA,99.4,90000
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,99.7,120000
OAK,Oakland San Francisco Bay Airport,Oakland,CA,99.4,90000
EWR,Newark Liberty International Airport,Newark,NJ,99.5,120000
JFK,John F Kennedy International Airport,New York,NY,99.5,120000
